SL.NO,MODEL,BIAS MITIGATION TECH/FAIRNESS METRIC,Accuracy,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
SL.NO,model names,objective,1,1,1,0,0,0,0,1,0
GC1,RANDOM FOREST WITH HYPER PARAMS,MODEL VALUE,0.71,0.82840237,0.9975145,-0.00246238,0,-0.00461538,-0.01067031,0.98733333,0.05700535
GC1,RANDOM FOREST WITH HYPER PARAMS,REWEIGHTING,0.70172476,0.82261634,1.00123967,0.00122672,0,-0.00461538,-0.10782711,0.98733333,0.05700535
GC1,RANDOM FOREST WITH HYPER PARAMS,DIR,0.70666667,0.82539683,1.01176471,0.01149111,0.01333333,0.00974359,-0.01532148,0.976,0.0636121
GC1,RANDOM FOREST WITH HYPER PARAMS,AD,0.7,0.82352941,1,0,0,0,-0.00820793,1,0.05754982
GC1,RANDOM FOREST WITH HYPER PARAMS,PRR,0.71,0.81449893,0.79605852,-0.18686731,-0.17666667,-0.19602564,0.05499316,0.874,0.11881948
GC1,RANDOM FOREST WITH HYPER PARAMS,EO,0.71,0.82703777,0.99971989,-0.0002736,0.01333333,-0.01025641,-0.02708618,0.97,0.06341072
GC1,RANDOM FOREST WITH HYPER PARAMS,CEO,0.7,0.82283465,0.99285322,-0.00711354,0.00666667,-0.01666667,-0.0246238,0.98666667,0.06076734
GC1,RANDOM FOREST WITH HYPER PARAMS,ROC,0.69666667,0.76962025,1.01559715,0.00957592,-0.03333333,0.03410256,0.05280438,0.78466667,0.2533667
GC2,XGBOOST WITH HYPER PARAMS,MODEL VALUE,0.69333333,0.81746032,0.99498188,-0.00492476,0.00333333,-0.01064103,-0.01751026,0.97333333,0.07083238
GC2,XGBOOST WITH HYPER PARAMS,REWEIGHTING,0.68490228,0.81156195,0.99631663,-0.00361548,0.00333333,-0.01064103,-0.11343636,0.97333333,0.07083238
GC2,XGBOOST WITH HYPER PARAMS,DIR,0.69333333,0.81746032,0.99498188,-0.00492476,0.00333333,-0.01064103,-0.01751026,0.97333333,0.07083238
GC2,XGBOOST WITH HYPER PARAMS,AD,0.69666667,0.81836327,0.92626346,-0.07305062,-0.06,-0.08230769,0.00355677,0.97066667,0.07389994
GC2,XGBOOST WITH HYPER PARAMS,PRR,0.71,0.81449893,0.79605852,-0.18686731,-0.17666667,-0.19602564,0.05499316,0.874,0.11881948
GC2,XGBOOST WITH HYPER PARAMS,EO,0.39,0.29343629,1.01176471,0.00191518,0.00333333,0.00012821,0.00246238,0.792,0.87901529
GC2,XGBOOST WITH HYPER PARAMS,CEO,0.69333333,0.81746032,0.99498188,-0.00492476,0.00333333,-0.01064103,-0.01751026,0.97333333,0.07083238
GC2,XGBOOST WITH HYPER PARAMS,ROC,0.67,0.7518797,0.98572664,-0.00902873,-0.04333333,0.01064103,0.04842681,0.82266667,0.26635378
GC3,XGBOOST,MODEL VALUE,0.68666667,0.78733032,0.74893198,-0.20902873,-0.15666667,-0.2475641,0.00601915,0.78933333,0.17893612
GC3,XGBOOST,REWEIGHTING,0.67247964,0.77664603,0.77778985,-0.1838836,-0.15666667,-0.2475641,-0.02423751,0.78933333,0.17893612
GC3,XGBOOST,DIR,0.68333333,0.78555305,0.76306277,-0.19726402,-0.18,-0.21153846,0.0506156,0.77333333,0.1793542
GC3,XGBOOST,AD,0.70333333,0.82376238,0.97376415,-0.02599179,-0.01,-0.03730769,-0.01997264,0.98,0.06380566
GC3,XGBOOST,PRR,0.71,0.81449893,0.79605852,-0.18686731,-0.17666667,-0.19602564,0.05499316,0.874,0.11881948
GC3,XGBOOST,EO,0.67333333,0.77625571,0.98708752,-0.00984952,-0.01333333,-0.00974359,0.00383037,0.72533333,0.19457723
GC3,XGBOOST,CEO,0.68333333,0.80167015,0.63529412,-0.36470588,-0.3,-0.41,0.0506156,0.904,0.11779899
GC3,XGBOOST,ROC,0.66,0.7150838,0.93681917,-0.03173735,-0.06,-0.01769231,0.05088919,0.68666667,0.34800713
GC4,RANDOM FOREST,MODEL VALUE,0.72333333,0.81838074,0.7762216,-0.19671683,-0.17333333,-0.21589744,0.04076607,0.84733333,0.13051753
GC4,RANDOM FOREST,REWEIGHTING,0.70961308,0.80821111,0.80381128,-0.17098691,-0.17333333,-0.21589744,-0.00023527,0.84733333,0.13051753
GC4,RANDOM FOREST,DIR,0.74333333,0.8336933,0.87453066,-0.10971272,-0.09666667,-0.12217949,0.01942544,0.84933333,0.1085525
GC4,RANDOM FOREST,AD,0.70333333,0.82376238,0.97376415,-0.02599179,-0.01,-0.03730769,-0.01997264,0.98,0.06380566
GC4,RANDOM FOREST,PRR,0.71,0.81449893,0.79605852,-0.18686731,-0.17666667,-0.19602564,0.05499316,0.874,0.11881948
GC4,RANDOM FOREST,EO,0.71,0.80879121,0.99164439,-0.00683995,0.01,-0.02115385,-0.02708618,0.82066667,0.14208166
GC4,RANDOM FOREST,CEO,0.70666667,0.82040816,0.76470588,-0.23529412,-0.15,-0.295,-0.03173735,0.932,0.08627205
GC4,RANDOM FOREST,ROC,0.62666667,0.67058824,1.00632511,0.00273598,-0.01333333,0.00871795,0.02079343,0.71666667,0.41097634
GC5,KNN,MODEL VALUE,0.72,0.82278481,0.87755102,-0.11162791,-0.11,-0.115,0.03611491,0.90066667,0.10469548
GC5,KNN,REWEIGHTING,0.70928891,0.81484014,0.89526052,-0.09485757,-0.11,-0.115,-0.02592311,0.90066667,0.10469548
GC5,KNN,DIR,0.70333333,0.81183932,0.93535539,-0.05772914,-0.04333333,-0.06935897,-0.00355677,0.91333333,0.11614416
