SL.NO,MODEL,BIAS MITIGATION TECH/FAIRNESS METRIC,Accuracy,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
SL.NO,model names,objective,1,1,1,0,0,0,0,1,0
GC1,RANDOM FOREST WITH HYPER PARAMS,MODEL VALUE,0.71,0.82840237,1.00464143,0.00458551,0,0.00964869,0.0423485,0.98733333,0.05700535
GC1,RANDOM FOREST WITH HYPER PARAMS,REWEIGHTING,0.70765798,0.82666892,1.00760638,0.00750083,0,0.00964869,-0.04445402,0.98733333,0.05700535
GC1,RANDOM FOREST WITH HYPER PARAMS,DIR,0.72,0.83266932,0.99410356,-0.00575436,0.00840336,-0.01039505,0.01996044,0.97266667,0.05957242
GC1,RANDOM FOREST WITH HYPER PARAMS,AD,0.69666667,0.81908549,0.97442665,-0.02526524,-0.02456367,-0.02489935,0.04522568,0.97266667,0.07064986
GC1,RANDOM FOREST WITH HYPER PARAMS,PRR,0.70333333,0.81183932,0.90465436,-0.08730444,-0.06205559,-0.09609459,0.03030031,0.884,0.11614416
GC1,RANDOM FOREST WITH HYPER PARAMS,EO,0.72,0.83266932,0.99410356,-0.00575436,0.00840336,-0.01039505,0.01996044,0.97,0.05957242
GC1,RANDOM FOREST WITH HYPER PARAMS,CEO,0.71333333,0.83003953,0.97014925,-0.02985075,0,-0.04651163,0.00791225,0.984,0.05680862
GC1,RANDOM FOREST WITH HYPER PARAMS,ROC,0.58666667,0.62424242,0.94732221,-0.02157885,-0.01228184,-0.00886234,-0.00521489,0.782,0.46889877
GC2,XGBOOST WITH HYPER PARAMS,MODEL VALUE,0.69333333,0.81746032,0.9956048,-0.00431577,0.01422107,-0.01614528,0.01222802,0.97333333,0.07083238
GC2,XGBOOST WITH HYPER PARAMS,REWEIGHTING,0.68987086,0.81523154,0.99619804,-0.00373737,0.01422107,-0.01614528,-0.07371795,0.97333333,0.07083238
GC2,XGBOOST WITH HYPER PARAMS,DIR,0.69333333,0.81451613,1.01787242,0.01690343,0.02844215,0.01125225,0.01222802,0.94866667,0.08389739
GC2,XGBOOST WITH HYPER PARAMS,AD,0.70333333,0.81183932,0.84969384,-0.14125157,-0.10084034,-0.16001938,0.03030031,0.92666667,0.11614416
GC2,XGBOOST WITH HYPER PARAMS,PRR,0.70333333,0.81183932,0.90465436,-0.08730444,-0.06205559,-0.09609459,0.03030031,0.884,0.11614416
GC2,XGBOOST WITH HYPER PARAMS,EO,0.68666667,0.8097166,1.00209145,0.00197806,0.00646412,0.00026323,0.02715339,0.93333333,0.09088691
GC2,XGBOOST WITH HYPER PARAMS,CEO,0.69333333,0.81451613,1.01787242,0.01690343,0.02844215,0.01125225,0.01222802,0.94866667,0.08389739
